iter	Passed	Remaining
401	13987	20806
402	14021	20771
403	14058	20740
404	14094	20707
405	14128	20671
406	14160	20632
407	14195	20597
408	14230	20562
409	14264	20526
410	14299	20492
411	14333	20457
412	14367	20420
413	14413	20401
414	14450	20370
415	14484	20333
416	14519	20300
417	14553	20262
418	14585	20225
419	14618	20187
420	14651	20150
421	14688	20117
422	14721	20081
423	14752	20041
424	14787	20006
425	14823	19973
426	14855	19934
427	14891	19901
428	14926	19867
429	14961	19833
430	14993	19794
431	15026	19757
432	15060	19720
433	15092	19682
434	15124	19643
435	15157	19607
436	15189	19568
437	15222	19532
438	15258	19499
439	15290	19461
440	15324	19424
441	15359	19390
442	15391	19351
443	15425	19316
444	15458	19279
445	15493	19245
446	15525	19207
447	15562	19174
448	15592	19134
449	15625	19098
450	15659	19062
451	15691	19024
452	15724	18987
453	15755	18948
454	15788	18911
455	15826	18881
456	15862	18847
457	15899	18815
458	15934	18780
459	15967	18744
460	16001	18709
461	16034	18672
462	16068	18637
463	16103	18601
464	16136	18566
465	16171	18531
466	16204	18494
467	16238	18459
468	16269	18420
469	16303	18385
470	16339	18351
471	16377	18320
472	16411	18285
473	16446	18250
474	16482	18217
475	16519	18184
476	16553	18149
477	16585	18111
478	16618	18076
479	16651	18039
480	16686	18004
481	16719	17967
482	16749	17928
483	16782	17891
484	16814	17854
485	16849	17820
486	16885	17786
487	16918	17750
488	16951	17714
489	16983	17676
490	17016	17640
491	17070	17625
492	17106	17592
493	17140	17556
494	17170	17517
495	17204	17482
496	17237	17445
497	17266	17405
498	17299	17369
499	17332	17332
500	17366	17297
501	17398	17260
502	17431	17223
503	17463	17185
504	17496	17149
505	17530	17114
506	17562	17077
507	17594	17040
508	17627	17004
509	17660	16968
510	17694	16933
511	17725	16894
512	17757	16857
513	17793	16824
514	17825	16787
515	17858	16750
516	17889	16713
517	17925	16679
518	17959	16644
519	17994	16610
520	18026	16573
521	18064	16541
522	18098	16506
523	18132	16471
524	18167	16437
525	18203	16404
526	18239	16370
527	18276	16337
528	18312	16304
529	18353	16275
530	18387	16240
531	18420	16204
532	18455	16170
533	18490	16135
534	18524	16101
535	18560	16067
536	18593	16031
537	18628	15996
538	18661	15961
539	18697	15927
540	18730	15891
541	18767	15859
542	18802	15824
543	18837	15790
544	18870	15754
545	18902	15717
546	18938	15684
547	18970	15647
548	19002	15610
549	19035	15574
550	19069	15539
551	19100	15502
552	19132	15464
553	19166	15429
554	19199	15394
555	19230	15356
556	19262	15319
557	19293	15283
558	19329	15249
559	19361	15212
560	19396	15178
561	19429	15142
562	19463	15107
563	19495	15071
564	19526	15034
565	19560	14999
566	19596	14965
567	19628	14928
568	19663	14894
569	19699	14860
570	19733	14826
571	19770	14793
572	19806	14759
573	19839	14724
574	19877	14692
575	19910	14656
576	19946	14622
577	19987	14593
578	20021	14557
579	20055	14523
580	20093	14490
581	20131	14458
582	20167	14424
583	20203	14391
584	20239	14358
585	20271	14321
586	20307	14288
587	20342	14253
588	20376	14218
589	20414	14186
590	20448	14151
591	20482	14116
592	20514	14079
593	20550	14046
594	20583	14010
595	20617	13975
596	20652	13941
597	20684	13904
598	20716	13868
599	20750	13833
600	20786	13800
601	20821	13765
602	20853	13729
603	20887	13694
604	20920	13658
605	20954	13623
606	20988	13588
607	21020	13552
608	21053	13517
609	21085	13480
610	21116	13444
611	21151	13409
612	21183	13373
613	21217	13338
614	21251	13303
615	21283	13267
616	21316	13232
617	21354	13199
618	21391	13166
619	21427	13132
620	21462	13098
621	21498	13064
622	21533	13030
623	21569	12997
624	21605	12963
625	21640	12928
626	21676	12895
627	21712	12861
628	21745	12825
629	21779	12791
630	21812	12755
631	21848	12722
632	21881	12686
633	21913	12650
634	21945	12614
635	21978	12578
636	22012	12544
637	22047	12509
638	22080	12474
639	22114	12439
640	22148	12404
641	22183	12369
642	22217	12335
643	22253	12301
644	22289	12267
645	22326	12234
646	22360	12199
647	22394	12164
648	22428	12129
649	22460	12094
650	22492	12058
651	22526	12023
652	22560	11988
653	22594	11953
654	22627	11918
655	22658	11881
656	22691	11846
657	22726	11811
658	22765	11780
659	22798	11744
660	22835	11711
661	22875	11679
662	22912	11646
663	22948	11612
664	22980	11576
665	23014	11541
666	23048	11506
667	23081	11471
668	23116	11437
669	23153	11403
670	23187	11369
671	23223	11335
672	23260	11301
673	23295	11267
674	23328	11232
675	23362	11197
676	23397	11162
677	23431	11128
678	23465	11093
679	23499	11058
680	23536	11024
681	23571	10990
682	23604	10955
683	23641	10921
684	23681	10890
685	23717	10855
686	23751	10821
687	23786	10787
688	23821	10752
689	23853	10716
690	23886	10681
691	23919	10646
692	23951	10610
693	23987	10576
694	24025	10543
695	24060	10509
696	24093	10473
697	24127	10438
698	24159	10403
699	24192	10368
700	24228	10334
701	24261	10299
702	24295	10264
703	24340	10234
704	24372	10198
705	24408	10164
706	24440	10128
707	24473	10093
708	24506	10058
709	24540	10023
710	24573	9988
711	24603	9951
712	24636	9916
713	24669	9881
714	24701	9846
715	24734	9810
716	24769	9776
717	24803	9741
718	24834	9705
719	24866	9670
720	24898	9634
721	24930	9599
722	24964	9564
723	24998	9529
724	25032	9495
725	25068	9460
726	25101	9425
727	25137	9392
728	25172	9357
729	25206	9323
730	25245	9289
731	25281	9256
732	25315	9221
733	25350	9186
734	25386	9152
735	25422	9118
736	25454	9083
737	25491	9049
738	25525	9015
739	25558	8980
740	25593	8945
741	25624	8909
742	25656	8874
743	25690	8839
744	25728	8806
745	25766	8773
746	25801	8738
747	25836	8704
748	25871	8669
749	25906	8635
750	25941	8601
751	25975	8566
752	26010	8532
753	26042	8496
754	26078	8462
755	26111	8427
756	26144	8392
757	26175	8356
758	26207	8321
759	26243	8287
760	26276	8252
761	26309	8217
762	26343	8182
763	26375	8147
764	26410	8112
765	26444	8078
766	26479	8043
767	26512	8009
768	26549	7975
769	26583	7940
770	26619	7906
771	26655	7872
772	26690	7837
773	26724	7803
774	26760	7769
775	26795	7734
776	26830	7700
777	26863	7665
778	26893	7629
779	26925	7594
780	26959	7559
781	26989	7523
782	27024	7489
783	27056	7454
784	27092	7420
785	27124	7385
786	27159	7350
787	27194	7316
788	27230	7282
789	27265	7247
790	27297	7212
791	27329	7177
792	27361	7142
793	27394	7107
794	27425	7072
795	27456	7036
796	27491	7002
797	27524	6967
798	27559	6933
799	27594	6898
800	27627	6863
801	27659	6828
802	27694	6794
803	27725	6759
804	27758	6724
805	27790	6689
806	27824	6654
807	27858	6619
808	27889	6584
809	27922	6549
810	27957	6515
811	27994	6481
812	28029	6447
813	28064	6412
814	28100	6378
815	28136	6344
816	28170	6310
817	28205	6275
818	28242	6241
819	28278	6207
820	28313	6173
821	28346	6138
822	28380	6103
823	28415	6069
